"","Treatment","meanCP","ngDNA","CopyNumber","LogCopyNumber"
"1","",27.583125,NA,NA,6.13975
"2","301-1-15",25.2366666666667,NA,NA,6.83291
"3","301-1-27",25.69,NA,NA,6.69899
"4","301-1-28",26.21,NA,NA,6.54538
"5","301-1-33",25.2766666666667,NA,NA,6.82109
"6","301-1-35",26.21,NA,NA,6.54538
"7","301-1-38",25.5666666666667,NA,NA,6.73543
"8","301-1-39",25.7666666666667,NA,NA,6.67634
"9","301-1-40",26.7066666666667,NA,NA,6.39866
"10","301-1-43",26.1766666666667,NA,NA,6.55523
"11","301-1-48",25.96,NA,NA,6.61923
"12","301-2-20",26.5866666666667,NA,NA,6.43411
"13","301-2-25",25.7733333333333,NA,NA,6.67437
"14","301-2-36",27.2933333333333,NA,NA,6.22536
"15","301-2-37",24.56,NA,NA,7.0328
"16","301-3-10",27.0133333333333,NA,NA,6.30807
"17","301-3-27",26.3533333333333,NA,NA,6.50304
"18","301-3-31",27.26,NA,NA,6.2352
"19","301-3-34",29.25,NA,NA,5.64734
"20","301-3-37",26.1866666666667,NA,NA,6.55227
"21","301-3-40",25.5966666666667,NA,NA,6.72656
"22","301-3-44",25.9133333333333,NA,NA,6.63302
"23","301-3-45",26.6533333333333,NA,NA,6.41442
"24","301-3-48",27.3866666666667,NA,NA,6.19779
"25","301-4-14",25.9766666666667,NA,NA,6.61431
"26","301-4-18",26.1066666666667,NA,NA,6.57591
"27","301-4-19",26.7433333333333,NA,NA,6.38783
"28","301-4-20",26.02,NA,NA,6.60151
"29","301-4-28",25.7533333333333,NA,NA,6.68028
"30","301-4-32",27.25,NA,NA,6.23816
"31","301-4-37",24.0133333333333,NA,NA,7.19429
"32","301-4-38",27.5433333333333,NA,NA,6.15151
"33","301-4-39",25.8066666666667,NA,NA,6.66453
"34","301-4-43",26.7366666666667,NA,NA,6.3898
"35","301-5-10",26.1333333333333,NA,NA,6.56803
"36","301-5-13",26.7666666666667,NA,NA,6.38094
"37","301-5-19",26.7433333333333,NA,NA,6.38783
"38","301-5-20",32.4566666666667,NA,NA,4.70007
"39","301-5-21",27.37,NA,NA,6.20271
"40","301-5-24",25.93,NA,NA,6.62809
"41","301-5-31",25.8266666666667,NA,NA,6.65862
"42","301-5-32",26.0033333333333,NA,NA,6.60643
"43","301-5-41",25.56,NA,NA,6.73739
"44","304-1-06",27.2533333333333,NA,NA,6.23717
"45","304-1-09",26.5066666666667,NA,NA,6.45774
"46","304-1-41",26.42,NA,NA,6.48335
"47","304-2-17",25.9833333333333,NA,NA,6.61234
"48","304-2-29",26.0666666666667,NA,NA,6.58772
"49","304-3-14",26.4433333333333,NA,NA,6.47645
"50","304-4-37",26.7533333333333,NA,NA,6.38488
"51","304-5-08",27.79,NA,NA,6.07864
"52","304-5-09",27.3166666666667,NA,NA,6.21846
"53","304-5-11",26.38,NA,NA,6.49516
